Gender,Age,MonthlyCharges,TotalCharges,TenureMonths,SupportTickets,Churn,ChargesPerMonth,TicketsPerMonth,HighSupport,ShortTenure,IsMonthly,ChargeToAge,Country_Egypt,Country_Kuwait,Country_Saudi Arabia,Country_UAE,SubscriptionType_Basic,SubscriptionType_Premium,SubscriptionType_Standard,ContractType_Monthly,ContractType_Yearly,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Visa,TenureBucket_0-6,TenureBucket_13-24,TenureBucket_25+,TenureBucket_7-12
0,45,167,2171,13,4,0,155.07142857142858,0.2857142857142857,1,0,0,3.7111111111111112,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
1,31,174,3132,18,6,0,164.8421052631579,0.3157894736842105,1,0,1,5.612903225806452,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
0,24,106,2756,26,5,1,102.07407407407408,0.18518518518518517,1,0,1,4.416666666666667,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,51,158,2686,17,1,1,149.22222222222223,0.05555555555555555,0,0,0,3.0980392156862746,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1,48,190,2280,12,5,1,175.3846153846154,0.38461538461538464,1,0,0,3.9583333333333335,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
0,36,220,3960,18,2,0,208.42105263157896,0.10526315789473684,0,0,0,6.111111111111111,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
1,30,257,1285,5,1,0,214.16666666666666,0.16666666666666666,0,1,1,8.566666666666666,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,63,258,6192,24,8,1,247.68,0.32,1,0,0,4.095238095238095,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
0,36,154,5082,33,8,0,149.47058823529412,0.23529411764705882,1,0,1,4.277777777777778,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,46,280,8120,29,5,0,270.6666666666667,0.16666666666666666,1,0,1,6.086956521739131,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,28,81,405,5,6,0,67.5,1.0,1,1,1,2.892857142857143,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,25,94,564,6,4,0,80.57142857142857,0.5714285714285714,1,1,0,3.76,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0,49,297,2673,9,0,0,267.3,0.0,0,0,0,6.061224489795919,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,38,108,432,4,0,0,86.4,0.0,0,1,1,2.8421052631578947,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
1,34,209,418,2,3,1,139.33333333333334,1.0,1,1,0,6.147058823529412,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
0,51,302,3926,13,5,1,280.42857142857144,0.35714285714285715,1,0,0,5.921568627450981,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,48,183,732,4,4,0,146.4,0.8,1,1,1,3.8125,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
1,54,263,8153,31,2,0,254.78125,0.0625,0,0,0,4.87037037037037,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
0,18,96,2016,21,8,1,91.63636363636364,0.36363636363636365,1,0,0,5.333333333333333,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
1,40,286,6578,23,8,1,274.0833333333333,0.3333333333333333,1,0,1,7.15,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
0,36,106,2332,22,2,0,101.3913043478261,0.08695652173913043,0,0,0,2.9444444444444446,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
0,26,219,1971,9,6,0,197.1,0.6,1,0,0,8.423076923076923,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,36,195,6045,31,5,0,188.90625,0.15625,1,0,1,5.416666666666667,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,38,158,4266,27,1,0,152.35714285714286,0.03571428571428571,0,0,0,4.157894736842105,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
